n_hidden = 64
max level = 3
conv size = 64
fp len = 0
batch_size = 50
max_epoch = 200000
test_interval = 1000
report_interval = 100
save_interval = 10000
lr = 0.001
l2_penalty = 0
momentum = 0.9
init iter = 0
device id = 0
loading indexes data/ENZYMES/10fold_idx/train_idx-1.txt
loading indexes data/ENZYMES/10fold_idx/test_idx-1.txt
dimension of node feature: 2
testing
iter: 9800	ReduceMean_21:out_0: 1.3735	ReduceMean_25:out_0: 0.48
iter: 9900	ReduceMean_21:out_0: 1.27221	ReduceMean_25:out_0: 0.5
testing
test@iter: 10000	ReduceMean_21:out_0: 1.79568	ReduceMean_25:out_0: 0.35
saving model for iter=10000
iter: 10000	ReduceMean_21:out_0: 1.36365	ReduceMean_25:out_0: 0.4
iter: 10100	ReduceMean_21:out_0: 1.35487	ReduceMean_25:out_0: 0.42
iter: 10200	ReduceMean_21:out_0: 1.71017	ReduceMean_25:out_0: 0.26
iter: 10300	ReduceMean_21:out_0: 1.36505	ReduceMean_25:out_0: 0.44
iter: 10400	ReduceMean_21:out_0: 1.25642	ReduceMean_25:out_0: 0.5
iter: 10500	ReduceMean_21:out_0: 1.3829	ReduceMean_25:out_0: 0.48
iter: 10600	ReduceMean_21:out_0: 1.11924	ReduceMean_25:out_0: 0.6
iter: 10700	ReduceMean_21:out_0: 1.18343	ReduceMean_25:out_0: 0.54
iter: 10800	ReduceMean_21:out_0: 1.15326	ReduceMean_25:out_0: 0.6
iter: 10900	ReduceMean_21:out_0: 1.08892	ReduceMean_25:out_0: 0.52
testing
test@iter: 11000	ReduceMean_21:out_0: 1.68427	ReduceMean_25:out_0: 0.483333
iter: 11000	ReduceMean_21:out_0: 1.12917	ReduceMean_25:out_0: 0.52
iter: 11100	ReduceMean_21:out_0: 1.35952	ReduceMean_25:out_0: 0.48
iter: 11200	ReduceMean_21:out_0: 1.12541	ReduceMean_25:out_0: 0.62
iter: 11300	ReduceMean_21:out_0: 1.07063	ReduceMean_25:out_0: 0.52
iter: 11400	ReduceMean_21:out_0: 1.07586	ReduceMean_25:out_0: 0.58
iter: 11500	ReduceMean_21:out_0: 1.343	ReduceMean_25:out_0: 0.34
iter: 11600	ReduceMean_21:out_0: 1.38019	ReduceMean_25:out_0: 0.4
iter: 11700	ReduceMean_21:out_0: 1.27084	ReduceMean_25:out_0: 0.5
iter: 11800	ReduceMean_21:out_0: 1.0142	ReduceMean_25:out_0: 0.6
iter: 11900	ReduceMean_21:out_0: 1.23324	ReduceMean_25:out_0: 0.54
testing
test@iter: 12000	ReduceMean_21:out_0: 1.93278	ReduceMean_25:out_0: 0.45
iter: 12000	ReduceMean_21:out_0: 0.892706	ReduceMean_25:out_0: 0.68
iter: 12100	ReduceMean_21:out_0: 1.02301	ReduceMean_25:out_0: 0.58
iter: 12200	ReduceMean_21:out_0: 1.01588	ReduceMean_25:out_0: 0.68
iter: 12300	ReduceMean_21:out_0: 0.86782	ReduceMean_25:out_0: 0.62
iter: 12400	ReduceMean_21:out_0: 1.26976	ReduceMean_25:out_0: 0.54
iter: 12500	ReduceMean_21:out_0: 0.981704	ReduceMean_25:out_0: 0.6
iter: 12600	ReduceMean_21:out_0: 1.03425	ReduceMean_25:out_0: 0.62
iter: 12700	ReduceMean_21:out_0: 0.853327	ReduceMean_25:out_0: 0.72
iter: 12800	ReduceMean_21:out_0: 0.81767	ReduceMean_25:out_0: 0.66
iter: 12900	ReduceMean_21:out_0: 0.738221	ReduceMean_25:out_0: 0.74
testing
test@iter: 13000	ReduceMean_21:out_0: 1.70741	ReduceMean_25:out_0: 0.483333
iter: 13000	ReduceMean_21:out_0: 0.728096	ReduceMean_25:out_0: 0.72
iter: 13100	ReduceMean_21:out_0: 0.877176	ReduceMean_25:out_0: 0.64
iter: 13200	ReduceMean_21:out_0: 0.93511	ReduceMean_25:out_0: 0.66
iter: 13300	ReduceMean_21:out_0: 0.703934	ReduceMean_25:out_0: 0.74
iter: 13400	ReduceMean_21:out_0: 0.836934	ReduceMean_25:out_0: 0.66
iter: 13500	ReduceMean_21:out_0: 0.728684	ReduceMean_25:out_0: 0.62
iter: 13600	ReduceMean_21:out_0: 0.900343	ReduceMean_25:out_0: 0.64
iter: 13700	ReduceMean_21:out_0: 0.820512	ReduceMean_25:out_0: 0.7
iter: 13800	ReduceMean_21:out_0: 0.790514	ReduceMean_25:out_0: 0.66
iter: 13900	ReduceMean_21:out_0: 0.748004	ReduceMean_25:out_0: 0.68
testing
test@iter: 14000	ReduceMean_21:out_0: 1.99195	ReduceMean_25:out_0: 0.483333
iter: 14000	ReduceMean_21:out_0: 0.781409	ReduceMean_25:out_0: 0.62
